hate_speech,knowledge_sentence,counter_narrative,target,Generated Counter Speech
Some races are inferior and do not deserve Lord's love.,"And to drive the point home, he writes, ""For all have sinned and fall short of the glory of God."" This is the consistent teaching of the Bible from the table of contents to the appendix and the teaching of Jesus Christ Himself. The reason that sex is fun, pleasurable, and wonderful is because it is a reflection of the loving goodness of God who created it as a gift for us to steward and enjoy. Claiming to be wise, they became fools, and exchanged the glory of the immortal God for images resembling mortal man and birds and animals and creeping things. "" Thankfully, God is also merciful and loving. He was recently named one of the “25 Most Influential Pastors of the Past 25 Years” by Preaching magazine.","Some people exchanged ""the glory of the immortal God"" for images resembling mortal man, thinking that God belongs to a specific race. Thankfully, God is also merciful and loving to everyone and would not punish them for the heresy.",Racism,"We are all created equal in the eyes of the Lord. And the Lord has blessed us with a new creation, so that we are not judged by the things that we have done but by the works that we do. (Romans 3:28)   The Lord does not judge anyone on the basis of the color of their skin, but on the merits of their work. (1 Timothy 2:9)  We must be careful of what we say and do, for what we write or do may be misconstrued by those around us. ( Ephesians 5:22)  The Bible does not condone racial discrimination. ( Hebrews 9:4)  Do you really think that the Bible approves of racial discrimination"
Jews are Christ Killers.,"The Romans crafted crucifixion as a form of shaming torture and public death.The New Testament revolves around a different trauma, the crucifixion of Jesus of Nazareth.It was left to later gospels, Matthew, Luke-Acts and John, to balance the horror and terror of Roman crucifixion with accounts of Jesus’s resurrection and the development of the early church.The gospels record that Jesus was crucified with a sign “king of the Jews” above his head as a mark of the charge that he was just such a leader, and this crucifixion was felt as a mark of shame for decades.In the end, the Romans did not end the Jesus movement, but were overtaken by it.These measures are justified as fights against “terrorists” abroad or anti-crime/anti-drug campaigns at home.","The Romans crafted crucifixion as a form of shaming torture and public death, not the Jews. It was left to later gospels, Matthew, Luke-Acts and John, to balance the horror and terror of ROMAN crucifixion with accounts of Jesus’s resurrection and the development of the early church. So, also the gospels do not trot out Jews.",Antisemitism,"The “chosen people” concept has been twisted over time by some to suggest that Jews are “killers” and “apostates”. This is simply not true. Judaism is a religion, not a “religion of”killers. And, like any religion, it encourages people of all faiths to live out their lives in ways that are compatible with the teachings of the “gods” — including practicing their own way of life without imposing their beliefs on anyone else. (link to article about “Christ Killers” in the New York Times, link to “Apostate killer” story in the Guardian, etc.)   If you really cared about human rights, you would call"
"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, we should prevent them to make blood donations.","He also discussed a website that encourages random sex by gay men with strangers."" gay guys are the horniest people in the world. ""Paris Hilton is a huge supporter of the gay community and would never purposefully make any negative statements about anyone’s sexual orientation.” claiming, ""Gay guys are the horniest people in the world ... ""The conversation became heated, after a close gay friend told her in a cab ride, a story about a gay man who has AIDS and is knowingly having unprotected sex. The comments were to express that it is dangerous for anyone to have unprotected sex that could lead to a life threatening disease.""","The real issue is unprotected sex. Regardless of sexual orientation, it is dangerous for anyone to have unprotected sex that could lead to a life threatening disease.",Homophobia,"Homosexuality is not a disease, it is a behavioral preference, and it is perfectly fine to be attracted to people of the same sex.  If you are attracted to more than one gender, it does not mean that you have a disease.  (link to article about same sex attraction in the medical community)   If someone were to tell you that being gay is a choice, it would be very hard for you to accept it, because you would not know what it is like to experience it.   The same is true for being attracted to other people of different genders. You would probably feel bad about it too."
Jews control the u.s. government and have a secret plot to take over the world,"In general, religious minorities in the US are more likely to have college degrees than the Christian majority (Hindus 96%, Jews 75%, Muslims 54%, Buddhists 53%, unaffiliated 44%, Christians 36%).The main reason for the disparity is that Jews are largely concentrated in Israel and the US, countries with high levels of education generally, whereas 98% of the world But there are also notable differences between religious groups in the same areas of the world, such as sub-Saharan Africa, where Christians are generally better educated than Muslims.Over the same period, Christians gained just an extra year and Jews less than half a year.In sub-Saharan Africa, Muslims are more than twice as likely as Christians to have no formal schooling – and the gap is widening.The report says: “Some scholars suggest that the source of the Christian-Muslim attainment gap is rooted in the location of Christian missionary activity during colonial times.","This wrong perception got to do with the education level of minorities that allows for better job positions, also in the government. In general, religious minorities in the US are more likely to have college degrees than the Christian majority (Hindus 96%, Jews 75%, Muslims 54%, Buddhists 53%, unaffiliated 44%, Christians 36%).",Antisemitism,"Jewish people are not controlling the U.S. government, they are a small, but active minority within it. They are not trying to take control of the world.  They are just like any other citizen and have the right to be treated with respect and dignity.  If you really cared about human rights, you would call for the prosecution of the perpetrators of these crimes and the imprisonment of the innocent ones, not for the conspiracy theories about Jews controlling the government.  (link to article about alleged conspiracy of Jews to rule the world) Jewish people have the same rights as anyone else and are protected by the same laws. If you want to control the world, you better get acquainted with the reality."
"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","Women truck drivers, for example, earn about 76% the wages of male truck drivers.4. Women should quit whining.Their posts seem to fit into a few major categories: 1. Women do not deserve equal rights.We argued that women deserve equal pay for equal work, that the ability to decide whether and when to become parents is central to ""freedom,"" and that all forms of discrimination in the workplace and the public sphere should be challenged and dismantled.Are women really victims of the 'motherhood penalty'?In Egypt, keep the crusade for women's rights alive","Are you sure? Women truck drivers, for example, earn about 76% the wages of male truck drivers. It's still a long way to equality.",Misogyny,"The West has always been and always will be a melting pot of different cultures, religions, and beliefs. Diversity of thought and belief is a strength, not a weakness. We mustn't be afraid of new ideas or different ways of life. We are all human beings with the potential to be more open-minded and tolerant of other people's beliefs and beliefs of different races.  If we are to live in a diverse and interactive world, we all have to work together to create a more just and peaceful society. This is what the West is all about. Not racial or gender segregation.   If you really cared about human rights, you would call"
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.","no drugs, no cigarettes and no alcohol.But I say no drugs, no alcohol, no cigarettes.""The father of five – and grandfather of seven (with another on the way) – tells PEOPLE he also impressed the importance of abstaining from drugs and alcohol on .He was the life of the party.He would tell me,'Don't drink ever' ""I think they drink a little bit, but not much.","no drugs, no cigarettes and no alcohol. This should apply everywhere, not only in Islamic area.",Islamophobia,"You are welcome in my house, but please do not ask about sexual violence committed by muslim gangs in different cities of England, or about child sexual exploitation by Muslim gangs in Rotherham, Rochdale, Tyneside, Teeside etc.  If you have any questions ask them in private. If you want to help us fight CSE please contact National Society for the Prevention of Cruelty to Children, Lucy Faithful Foundation, or Independent Sexual Violence Advocates. Or just google 'CSE' and 'Muslim"
Children are not for rent,"“Gestational surrogate pregnancy contracts should be a viable option for potential parents. With medical advances, nearly all test-tube surrogate births today are done through gestational pregnancy. law is outdated and discriminates against couples who want to have children. Opponents claim gestational pregnancy exploits women and shows that modern medicine has run amok. “There’s interest from more and more couples to pursue gestational surrogacy as an option to have children.”A bill called the Child-Parent Security Act, which has been introduced by state Sen. Brad Hoylman (D-Manhattan) and Assemblywoman Amy Paulin (D-Westchester), would legalize surrogacy through gestational pregnancies, in which a woman is paid to go through the pregnancy and deliver a child who is not genetically related — a practice opponents slam as “womb for rent.”","In my opinion, so called ""Gestational surrogate pregnancy"" contracts should be a viable option for potential parents. Some laws are outdated and discriminates against couples who want to have children but cannot. And this is not necessarly connected to same-sex couples, of course.",Homophobia,"We are all born equal in the eyes of the law, but some groups are disadvantaged in accessing basic rights like access to housing, education and health. This is why we need to address the root causes of inequality rather than scapegoating one group for the ills of the other.   If we truly cared about human rights, we would demand equal access to basic rights from all groups, regardless of their skin color, religion, or national origin.  If you really cared about equality, you would demand that your children have the same opportunities as your children, and you would not force them to live in the way you want them to. Equality is about living in the inclusive society, not forcing others to live under your rules.  The more inclusive a society is, the"
Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,"One hundred years ago this month, Turkish soldiers began slaughtering Armenian Christians amid the chaos of World War I.Four months later, 800,000 were dead.Seven years later, he still has yet to “be that president.”But Turkey has never acknowledged the true nature of this crime against humanity, pretending instead that the Armenians died in a civil war.The pontiff also not only equated the Armenian genocide with the Nazi and Stalinist eras, but drew a parallel to today’s attacks by radical Islamists on Christians in the Middle East and Africa.The silence from Washington remains deafening — and profoundly disappointing.The final toll was at least 1.5 million — perhaps 90 percent of the local population.","One hundred years ago, Turkish soldiers began slaughtering Armenian Christians amid the chaos of World War I. Four months later, 800,000 were dead, and the final toll was at least 1.5 million — perhaps 90 percent of the local population. Now you are suggesting to use the same solution? THen what would make us different from them?",Islamophobia,"If you really cared about human rights you would call for the prosecution of the perpetrators of these crimes, not blame all people of a certain religion for the actions of a few.  You are a hypocrite, you are defending a form of hatred.  Counterspeech: I am not sure what you think a ""human rights"" concept is, if you have ever thought about it you would see that it is a concept that has been used to justify a lot of terrible things. For example, the persecution of LGBTI people, the banning of books critical of the status quo"
We cannot coexist in a society with millions of strangers that are unrespectful to our culture and other human beings.,"We call it the “Aloha Spirit”: the mood of welcome and inclusion that defines Hawaii, which has been a peaceful multicultural society longer than it has been a U.S. state. Throughout the islands’ history, there have been efforts to preserve the Native Hawaiian legacy and culture. Now this harmony is being undermined by an effort to create a semi-sovereign, race-based tribal government. The Hawaiian Homes Commission...","Why don't we build on the “Aloha Spirit” instead? It is the mood of welcome and inclusion that defines Hawaii, which has been a peaceful multicultural society longer than it has been a U.S. state.",Racism,"We are all human beings, and we all have the potential to be good and kind to one another. Not all of us want to be friends with all of the different races, but we all want to live in a just and peaceful society. We all want a stable and prosperous future for our children. Therefore, I think it is not a bad idea to try to understand each other and try to find common ground, rather than dividing people and trying to create divide and hate.   The world would be a better and better place without racism and sexism.  If you have any questions or concerns, please do not hesitate to contact me. I am more than happy to help"
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!,"Many of the early documents refer to the followers of Muhammad as ''hagarenes,'' and the ''tribe of Ishmael,'' in other words as descendants of Hagar, the servant girl that the Jewish patriarch Abraham used to father his son Ishmael.The Muslims have the benefit of hindsight of the European experience, and they know very well that once you start questioning the holy scriptures, you don't know where it will stop,''His work, based on the earliest copies of the Koran, maintains that parts of Islam's holy book are derived from pre-existing Christian Aramaic texts that were misinterpreted by later Islamic scholars who prepared the editions of the Koran commonly read today.Between fear and political correctness, it's not possible to say anything other than sugary nonsense about Islam,'' said one scholar at an American university who asked not to be named, referring to the threatened violence as well as the widespread reluctance on United States college campuses to criticize other cultures.Scholars and writers in Islamic countries who have ignored that warning have sometimes found themselves the target of death threats and violence, sending a chill through universities around the world.In its earliest form, Ms. Crone and Mr. Cook argued, the followers of Muhammad may have seen themselves as retaking their place in the Holy Land alongside their Jewish cousins.","Many of the early documents refer to the followers of Muhammad as ''hagarenes,'' and the ''tribe of Ishmael,'' in other words as descendants of Hagar, the servant girl that the Jewish patriarch Abraham used to father his son Ishmael. Some studies, based on the earliest copies of the Koran, maintains that parts of Islam's holy book are derived from pre-existing Christian Aramaic texts. Basically, they are not evil, they are our cousins!",Islamophobia,"Islam is not evil. Islam is a religion of peace. And peace is about loving all people, regardless of their religion.  Islam does not promote hatred or violence towards anyone. It is a peaceful religion that has brought a lot of positivity to many countries in the world.  Muslims are just like any other person and have the right to practice their religion as they wish.  If you are against Islam, you should talk to your friends, family, neighbours and work out ways to counter the negative stereotypes that are constantly being circulated about Muslims."
Muslims are asking too much! Their sharia has rules that cannot coexist with our culture.. They cannot ask us to not walk dogs in public!,"In Muslim countries, sharia is the law of the land.If local law conflicts with Muslims’ sharia obligations?After the March terrorist attack in Brussels, Trump said that European Muslims “want to go by sharia law.”In May, Rep. Joe Heck (R-Nev.) claimed that Muslims in Michigan “have tried to implement their version of sharia law in the United States.”Talk-show host Mark Levin says, “We already have creeping sharia law in this country.”In pre-modern Muslim lands, fiqh authority was separate from the governing authority, or siyasa.","In pre-modern Muslim lands, fiqh authority was separate from the governing authority, or siyasa, so if it happened before why should be any difference here and now?",Islamophobia,"Islam is a religion of peace. It is not about imposing your beliefs on anyone else. It encourages people to live their lives as they wish and to love their neighbors as they want. It does not force anyone to conform to your religion or to live in a certain way.   Muslims are not asking for anyone's compliance with their religion, they are asking for people to love and be kind to each other. This is what Islam is all about. Love and kindness do not have to be mutually exclusive.  Islam teaches that all people are equal before the law and that everyone has the right to be treated with respect and dignity. This includes Muslims"
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Much of the early ire was directed at the poll’s writer, a woman, in fact.We can, perhaps, ignore the hyperbole of “every celebrity” because celebrities are generally vigorous in their disavowal of feminism.They would be able to participate in intellectual debates without disagreement being couched in terms of their looks or sexuality.Perhaps they thought it reasonable to once again make feminism, and in turn the concerns of women, a sacrificial lamb.As of Friday, feminism was leading the poll — by a lot — spurred in part by an effort from users at 4chan, a largely toxic online bulletin board.But we don’t live in that universe.",They are able to participate in intellectual debates without any problem (even when they are couched in terms of their looks or sexuality). So maybe we have to look somewhere else when talking about divisive forces...,Misogyny,"The idea that there is such a thing as a ""divisive force"" in society is just fear mongering. People are free to choose their own lives and opinions, and this is their prerogative. I think it is also their right to express these opinions, as long as they are not trying to ""divide"" anyone. (insert quote from Germaine Greer about the importance of free thought and expression) Feminism, in my opinion, is an attempt to improve the lot of both men and women by making the world a better and more equal place.   If you really cared about equality, you would not be so quick to dismiss the concerns of women.  Counter"
homosexuality is a mental illness that can be cured [link],"Despite Peter and Kenneth having lived through the years where being gay was considered a mental illness, their love and their life together survived and flourished. For more than 30 years, the major health and mental health professional organizations in the United States have agreed that heterosexuality, bisexuality and homosexuality are all variations of sexual orientation. In contrast, Minnesota congresswoman and presidential candidate Michele Bachmann and her husband, Marcus, have both publicly supported the proposition that homosexuality can be cured through therapy, prayer, or a combination of the two. Individuals who seek “reparative therapy” to become heterosexual often do so because of personal distress, possibly caused by family, or societal pressures, or by teachings from those religious traditions that condemn bisexuality and homosexuality. Can an individual’s sexual orientation be changed through therapy? There can be no justification for discrimination based on sexual orientation or gender identity, including the use of “reparative” therapies.","For more than 30 years, the major health and mental health professional organizations in the United States have agreed that heterosexuality, bisexuality and homosexuality are all variations of sexual orientation. In contrast, some politicians have publicly supported the proposition that homosexuality can be cured through therapy, prayer, or a combination of the two. Are you on the side of science or of politics?",Homophobia,"Homosexuality is not a disease, it is a sexual orientation. 5% of the population simply love people of the same sex. This does not entail that they are mentally ill, or that they have a mental disorder. It just means that they don't have a preference for one sex over the other, and that their sexual orientation is not related to their physical or cognitive makeup.   The fact that some people are attracted to more than one gender does not imply that this is a choice, but rather a behavioral preference.  The same can be said for many other sexual orientations.  Sexual orientation is a matter of personal preference, and people can choose to be attracted to people of their own sex or the opposite sex."
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.","Around the world there are Jews of color, Asian Jews, Jews of all kinds.The idea that Jews are white is not only ridiculous, it’s offensive to who we really are!Even in times when we participated fully in non-Jewish societies, we always knew that we stood with one foot in the mainstream, and one foot outside.My answer to her, and my answer for all American Jews during these Days of Awe, is that finding our true Jewish identity can begin by questioning our whiteness.But that young woman I spoke with this summer, and most of her young adult Jewish peers today, can hardly fathom being singled out, being treated as “other,” because of their Jewishness.We all know that the saga of Jews in America is a stunning success story.","Around the world there are Jews of color, Asian Jews, Jews of all kinds. The idea that Jews have a specific physical nature is not only ridiculous, it’s offensive to who they really are! Most of young adult Jewish today, can hardly fathom being singled out, being treated as “other,” because of their Jewishness.",Antisemitism,"The idea that Jews are “different” from other people is simply wrong. They are human beings with the same values and hopes for the future as anyone else. They have every right to be proud of their heritage and religion, and to live their lives as they wish. This is their right as human beings, and they should be respected for it.   If you really cared about human rights, you would call for an end to discrimination and for a more equal society. But you seem to be concerned only with your own interests, and not with the interests of your fellow human beings. This attitude is incompatible with"
