 hate_speech,knowledge_sentence,counter_narrative,target,FactualityScore
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"South Yorkshire police is at pains to stress that CSE is now a key force priority.South Yorkshire police insists that the Independent Police Complaints Commission will be informed if there is any evidence that officers failed to properly investigate child sexual exploitation (CSE), or had covered up evidence.Rotherham police station.""At an operational level, the police gave no priority to CSE, regarding many child victims with contempt and failing to act on their abuse as a crime,"" wrote Jay.Attempts to manipulate the force's crime figures are not new.One man who worked at Rotherham interchange bus station in the early 2000s told the inquiry that police refused to intervene when young girls who were thought to be victims of CSE were being beaten up and abused by perpetrators.","The real problem is that police was not taking child sexual exploitation seriously (regardless of religion). Recently, South Yorkshire police was at pains to stress that child sexual exploitation is now a key force priority. South Yorkshire police insists that the Independent Police Complaints Commission will be informed if there is any evidence that officers failed to properly investigate , or had covered up evidence.",Islamophobia,0
Jews think they are so special,"conflating pro-Israel activists with Jews.)Why are gays a “minority,” but not Jews?Today’s Times has another good example, “Campus Debates on Israel Drive a Wedge Between Jews and Minorities.”But even more telling is that the Times headline writer implicitly decided that Jews are not a minority group.Rather, my point that the Times’ headline implicitly sides with campus leftist politics that deems lots of other dubious contenders, but not Jews, to be minorities.Surely the headline could instead have said, “Campus Debates on Israel Drive a Wedge Between Jews and OTHER Minorities,” and would have been at least as accurate.",Jews are special because they are a minority. Who are we to decide that Jews are not a minority group?,Antisemitism,0
Faggots abuse of their anus and then they want to clear their conscience by donating blood. Let's stop them!,"Currently, gay men are prohibited from donating blood in the United States unless they are abstinent for one year. The FDA’s original ban on gay men donating blood was implemented as a means to prevent the spread of HIV through blood donations, back when there was not a simple way to detect HIV in blood. “The tragedy at Pulse nightclub in Orlando highlighted the discrimination gay and bisexual men face when attempting to donate blood to those in need.” “I am encouraged by today’s announcement that the FDA will look into policy solutions in order to move away from the discriminatory time-based deferrals and move closer to individual risk assessment as it relates to blood donor safety screenings,” Quigley said in a statement. Medical groups and legislators have called the ban discriminatory. The U.S. Food and Drug Administration on Tuesday posted a request for public comment on what alternative blood donor deferral policies could look like, signaling the possibility that longstanding restrictions on gay blood donations may be lifted.","Currently, gay men are already prohibited from donating blood in the United States unless they are abstinent for one year. Of course, medical groups and legislators have called the ban discriminatory: we MUST move closer to individual risk assessment rather than group discrimination policies.",Homophobia,0
Jews think they are better than everyone else,"is an essential part of being Jewish as observing Jewish law (19%).Despite those trends, American Jews overwhelmingly express pride in their Jewish identity and a ""strong sense of belonging to the Jewish people,"" the Pew study said.Just 15% of Jewish Americans say that being Jewish is mainly a religious matter.Instead, more than 60% of American Jews say being Jewish is ""mainly a matter of culture and identity,"" according to an extensive survey released Tuesday by the Pew Research Center.The survey showed much lower rates of religious observance among Jewish millennials, one of several trends that may worry Jewish leaders.The non-partisan research center says its survey is the most comprehensive national survey of American Jews since the National Jewish Population Survey in 2000-2001.","Even if it might have been true in the past (but is not) the pride in Jewish identity according to an extensive survey released by the Pew Research Center is falling in the US. In fact, the survey showed much lower rates of religious observance among Jewish millennials.",Antisemitism,0
Cultures have never been fair and this is a fact. Muslims for example are just a bunch of misogynist monkeys!,"Ephesians 2:22-24 are translated as: ""Wives, submit yourselves to your own husbands as you do to the Lord.The question of wives being submissive to their husbands comes from a passage in the New Testament in Paul's letter to the Ephesians.Historically, the fifth chapter of Ephesians has been taken in context of Paul's writings to mean Christian spouses should operate as loving equals, though the word ""submissive"" has long been a divisive one for Christian women.Her husband's Christian counseling program came under fire by critics for a controversial therapy. ""Husbands, love your wives, just as Christ loved the church and gave himself up for her.""""Whatever someone thinks Paul means of submission of wives to husbands ... it doesn't leave any room for exploitation,"" said David Matthewson, an associate professor of New Testament at Denver Seminary.","Are you sure about this? Ephesians 2:22-24 are translated as: ""Wives, submit yourselves to your own husbands as you do to the Lord"". The question of wives being submissive to their husbands comes from a passage in the New Testament in Paul's letter to the Ephesians... The word ""submissive"" has long been a divisive one for Christian women as well.",Islamophobia,0
Islam is just a moon cult masquerading as a religion.,"Not an Islamic cult.Dean is hardly the first public figure to try and separate modern-day Muslim extremists from the religion of Islam.I think it's a cult.I think ISIS is a cult.Islamic is the wrong word -- radical religious extremists,"" he clarified.He called them a ""militant cult masquerading as a religious movement.""",We should try to separate modern-day Muslim extremists from the religion of Islam. ISIS is a cult. Islam is not. Islamic is the wrong word -- radical religious extremists is the right word. ISIS is a militant cult masquerading as a religious movement.,Islamophobia,0
Jews think they are better than everyone else,"Another asks if Jews consider themselves the chosen people.""Are there still Jews in Germany?""''Are the Jews a chosen people?""""With this exhibition we offer an opportunity for those people to know more about Jews and Jewish life.""It is important that people here get to know Jews to see that Jews are alive and that we have individual histories.In Germany, Jews have been stereotyped as victims.With fewer than 200,000 Jews among Germany's 82 million people, few Germans born after World War II know any Jews or much about them.","It is important that people get to know Jews to see that they are normal people with individual histories, and no special sense of superiority whatsoever.",Antisemitism,0
Apples and oranges are not the same and cultures have never been 'equal'. Muslims are just misogynist!,"Ephesians 2:22-24 are translated as: ""Wives, submit yourselves to your own husbands as you do to the Lord.The question of wives being submissive to their husbands comes from a passage in the New Testament in Paul's letter to the Ephesians.Most evangelicals know it's not easy to teach in a 30-minute sermon on Sunday.""Husbands, love your wives, just as Christ loved the church and gave himself up for her.""Now as the church submits to Christ, so also wives should submit to their husbands in everything.""Lemon asked, ""If (husband)","Sometimes apples and oranges are the same: the idea of wives being submissive to their husbands is also present in the bible. It comes from a passage in the New Testament in Paul's letter to the Ephesians. The ideas is that, as the church submits to Christ, so also wives should submit to their husbands in everything.",Islamophobia,0
Children are not for rent,"“Gestational surrogate pregnancy contracts should be a viable option for potential parents. With medical advances, nearly all test-tube surrogate births today are done through gestational pregnancy. law is outdated and discriminates against couples who want to have children. Opponents claim gestational pregnancy exploits women and shows that modern medicine has run amok. “There’s interest from more and more couples to pursue gestational surrogacy as an option to have children.”A bill called the Child-Parent Security Act, which has been introduced by state Sen. Brad Hoylman (D-Manhattan) and Assemblywoman Amy Paulin (D-Westchester), would legalize surrogacy through gestational pregnancies, in which a woman is paid to go through the pregnancy and deliver a child who is not genetically related — a practice opponents slam as “womb for rent.”","In my opinion, so called ""Gestational surrogate pregnancy"" contracts should be a viable option for potential parents. Some laws are outdated and discriminates against couples who want to have children but cannot. And this is not necessarly connected to same-sex couples, of course.",Homophobia,0
Allowing gays to donate blood compromises patient safety because of the diseases they can transmit.,"""This is an issue that relates to safety in the blood supply. Shawn Decker, a hemophiliac who contracted HIV through contaminated blood products, said he supports allowing gay men to donate blood. The Federal Advisory Committee on Blood Safety and Availability will consider the issue in meetings June 10 and 11 in Rockville, Maryland. The issue of blood donation has ""nothing to do with someone being gay. Blood donation questions and answers The FDA retained the ban on gay blood donors after reviewing the issue in 2000 and 2006.","This is an issue that relates to safety in the blood supply, not to being gay. For example, Shawn Decker, a hemophiliac who contracted HIV through contaminated blood products, said he supports allowing gay men to donate blood, exaclty for this reason.",Homophobia,0
Apples and oranges are not the same and cultures have never been 'equal'. Muslims are just misogynist!,"Ephesians 2:22-24 are translated as: ""Wives, submit yourselves to your own husbands as you do to the Lord.The question of wives being submissive to their husbands comes from a passage in the New Testament in Paul's letter to the Ephesians.Most evangelicals know it's not easy to teach in a 30-minute sermon on Sunday.""Husbands, love your wives, just as Christ loved the church and gave himself up for her.""Now as the church submits to Christ, so also wives should submit to their husbands in everything.Lemon asked, ""If (husband)","Did you know that the question of wives being submissive to their husbands is also present in the bible? It comes from a passage in the New Testament in Paul's letter to the Ephesians. The ideas is that, as the church submits to Christ, so also wives should submit to their husbands in everything.",Islamophobia,0
Muslims demand locals to not walk their dogs in public because it's againt the Sharia and they feel it as disrespectful.,"s call to bar Muslims from entering the country got all the attention, but an even uglier thread of anti-Muslim bigotry exists inside Ted Cruz’s campaign. selections reflects the different yardstick we apply to anti-Muslim views in contrast to bias against other minorities.Though Cruz’s campaign has the clearest connections, it is not alone in having associations with the anti-Muslim advocates.Or maybe he just has a selective memory about what he was taught as a young Muslim student in Indonesia.He’s also declared that Christians should “go on the offensive” to prevent Muslims in America from building any more mosques.Experts overwhelmingly agree that the kind of policies promoted by the anti-Islam noise machine — such as Cruz’s call for surveillance and special police patrols in Muslim neighborhoods, or Trump’s proposed ban on Muslims entering the country — will not lead to more effective counterterrorism efforts.",This selective attention to Muslims reflects the different yardstick we apply to Muslim in contrast to other minorities. Experts overwhelmingly agree that the kind of policies promoted by the anti-Islam noise machine will not lead to more effective integration.,Islamophobia,0
Muslims are asking too much! Their sharia has rules that cannot coexist with our culture.. They cannot ask us to not walk dogs in public!,"In Muslim countries, sharia is the law of the land.If local law conflicts with Muslims’ sharia obligations?After the March terrorist attack in Brussels, Trump said that European Muslims “want to go by sharia law.”In May, Rep. Joe Heck (R-Nev.) claimed that Muslims in Michigan “have tried to implement their version of sharia law in the United States.”Talk-show host Mark Levin says, “We already have creeping sharia law in this country.”In pre-modern Muslim lands, fiqh authority was separate from the governing authority, or siyasa.","In pre-modern Muslim lands, fiqh authority was separate from the governing authority, or siyasa, so if it happened before why should be any difference here and now?",Islamophobia,0
Jews are born greedy,"Like any ethno-racial or religious group, the population of white Protestants is internally diverse.Unlike almost every other dominant ethnic, racial or religious group in world history, white Protestants have ceded their socioeconomic power by hewing voluntarily to the values of merit and inclusion, values now shared broadly by Americans of different backgrounds.The Protestant governing elite must also bear its own share of responsibility for slavery and racial discrimination.If Elena Kagan — whose confirmation hearings begin today — is confirmed, that number will be reduced to zero, and the court will consist of six Catholics and three Jews.Catholic immigrants, whether from Ireland or Southern Europe, faced a century of organized discrimination and were regularly denounced as slavish devotees of the pope unsuited to democratic participation.As late as 1958, the year of the “dirty bicker” in which Jews were conspicuously excluded from its eating clubs, Princeton could fairly have been seen as a redoubt of all-male Protestant privilege.","Like any ethno-racial or religious group, the population of Jews is internally diverse, so it is impossible to generalize.",Antisemitism,0
Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"When talk turns to worldwide conspiracies, the long shadow of the “Protocols of the Learned Elders of Zion,” purportedly a blueprint for Jewish world domination, can never be far away.In The New York Times, Jonathan Martin said Mr. Trump veered “dangerously close to the territory of ‘The Protocols of the Elders of Zion.’ ”It was published as “The Protocols and World Revolution” by Small, Maynard & Company of Boston.Philip Graves, a correspondent of The Times of London, exposed it as having largely been plagiarized from an 1864 book attacking the regime of Emperor Napoleon III of France.Hardly the stuff of secret conspiracy.After all, “Protocol No. XII” says a Jewish-controlled press will subjugate Gentiles’ minds “to such an extent that almost all of them see world events through colored glasses which we put over their eyes.”)","When talk turns to worldwide conspiracies, the “Protocols of the Learned Elders of Zion” can never be far away. After all, “Protocol No. XII” says a Jewish-controlled press will subjugate Gentiles’ minds “to such an extent that almost all of them see world events through colored glasses which we put over their eyes.” But I think in the end those wearing the colored glasses are those believing in the Protocols...",Antisemitism,0
Some races have lower physical and cognitive abilities therefore their life is less valuable.,"actually ‘simpler’ organisms such as social insects have surprisingly advanced cognitive abilities.” Scientists hope bionic bees could be used for life saving jobs, such as search and rescue missions or detecting the source of a gas leak. “So far, researchers have typically studied brains such as those of rats, monkeys, and humans, but “The development of an artificial brain is one of the greatest challenges in Artificial Intelligence,” said Dr. James Marshall, who is leading the research at the Universities of Sheffield and Sussex. The study is being funded by the U.K.’s Engineering and Physical Sciences Research Council. The goal of the $1.61 million study, called “Green Brain,” is to create a robotic brain that can perform tasks as well as the brain of an animal.",Actually ‘simpler’ organisms such as social insects have surprisingly advanced cognitive abilities. Should we give more value to these insects as well?,Racism,0
"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, we should prevent them to make blood donations.","He also discussed a website that encourages random sex by gay men with strangers."" gay guys are the horniest people in the world. ""Paris Hilton is a huge supporter of the gay community and would never purposefully make any negative statements about anyone’s sexual orientation.” claiming, ""Gay guys are the horniest people in the world ... ""The conversation became heated, after a close gay friend told her in a cab ride, a story about a gay man who has AIDS and is knowingly having unprotected sex. The comments were to express that it is dangerous for anyone to have unprotected sex that could lead to a life threatening disease.""","The real issue is unprotected sex. Regardless of sexual orientation, it is dangerous for anyone to have unprotected sex that could lead to a life threatening disease.",Homophobia,0
Intolerance and violence can increase when mass migration happens.,"Even so, I believe there is genuine potential for mutual understanding. From this perspective, mutual understanding among these traditions is not merely the business of religious believers — it matters for the welfare of humanity as a whole. Though intolerance may be as old as religion itself, we still see vigorous signs of its virulence. Now I see how naïve I was, and how dangerous the extremes of religious intolerance can be today. The pressure this creates tests more than our tolerance — it demands that we promote peaceful coexistence and understanding across boundaries. In Europe, there are intense debates about newcomers wearing veils or wanting to erect minarets and episodes of violence against Muslim immigrants.","The extremes of intolerance can be very dangerous, I agree with you, but it demands that we promote peaceful coexistence and understanding across boundaries, not fear-mongering.",Racism,0
Why gays do not try to heal?,"""We are trying to make the Chinese public understand that we are not just sissies, we're not psychos, we're not HIV-infected diseased patients,"" Zhang told the Associated Press. The pageant was considered a move toward acceptance in a country where such a lifestyle was considered a crime and a disease, and only removed from the list of mental disorders as late as 2001. said they were not surprised the show was canceled, though the order came quite suddenly. and there were no problems and there is a still a general lack of tolerance among older Chinese generations. and no one came to give us any kind of warning,"" said contestant Emilio Liu, 26.","Homosexual are trying to make the public understand that they are not just sissies, they are not psychos or HIV-infected diseased patients. But I see they still have a long way to go...",Homophobia,0
"Many philosophers argue that humans are not born equal, especially when it comes to race.","defense is that it’s a classic argument from authority, a logical fallacy that amounts to little more than saying “I have impressive credentials, so I must be right.” Scientists don’t defer to authority and credentials. Well, it all goes back to statements like this one, from Chopra himself: “I regularly write articles and books co-authored by full professors … at Harvard,” Chopra protests. We defer to the quality of one’s arguments and the evidence that backs them up.” “The gaia hypothesis says nature does have a mind, that the globe is conscious.” ","This is a classic argument from authority, a logical fallacy that amounts to little more than saying “I have impressive credentials, so I must be right.” In fact Scientists don’t defer to authority and credentials.",Racism,0
Gays are perverts and must be isolated from society because they are practicing anal sex and spreding diseases such as HIV.,"""We think the risk from condomless anal sex is low, but we need to ensure we have a couple years of follow up to give more precise estimates,"" she said. About 33 percent of gay participants and 4 percent of heterosexual participants who were HIV-negative at the start of the study reported condomless sex with other partners, the researchers write. Overall, the 548 heterosexual and 340 gay couples reported about 60,000 unprotected sex acts during the study. After following nearly 900 heterosexual and gay couples for an average of 16 months, researchers found no evidence that uninfected partners became infected after condomless sex with an HIV-positive partner with viral suppression. For example, he said, when the study started, many of the participants had been having condomless sex with their partners for several years. The new study, conducted in 14 European countries, involved couples with one HIV-positive partner and one HIV-negative partner who had unprotected sex with each other.",Some studies show that the risk from condomless anal sex is low. Researchers found no evidence that uninfected partners became infected after condomless sex with an HIV-positive partner with viral suppression.,Homophobia,0
99% of Muslims in the UK are unemployable and refuse to work.,"Instead, Muslims are making non-Muslim friends.So should Muslims here be seen as suspect?No doubt, some Muslims here feel the same pressures.oh, yes — worry about Islamic extremism just about as much as non-Muslims.More pointedly, overwhelming majorities say they are happy with their lives, have positive views of their communities, believe hard work is the path to success, see life as better here than in most Muslim countries and — Never mind that Muslims lack the numbers or, apparently, the wish to impose it.","Overwhelming majorities of Muslims say they are happy with their lives here, have positive views of their communities, believe hard work is the path to success, see life as better here than in most Muslim countries.",Islamophobia,0
