cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel,Generated Counter Speech
ENT1ST0015HS0042CN000960P2,#saville town looks like a city of Afghanistan or Pakistan more than an English City. What do you think?,"Yeah, so what is your point? It looks like a place where people can live and do what they want and believe even in the West.",Islamophobia,islamization,question,21.0,female,Master,"You are welcome in my house, but please do not ask about sexual violence committed by muslim gangs in different cities of England. This is a disgusting topic that should be left to the"
FRT1ST0008HS0047CN000809T1,Your veil is an attack against me.,Your comments are an aggression against me.,Islamophobia,culture,"affiliation , denouncing",,,,"The veil is a symbol of our society and faith, it is not an attack at all. I do not see why it would be a problem for you to wear it. It is your choice as to what you want to wear, and it is your right"
ENT1ST0008HS0045CN000496P1,If someone wrote the Koran to the present day it would not be allowed.,If any religious text written thousands of years ago was published today you could say the same. Have you read the Bible's old testament?,Islamophobia,culture,"hypocrisy , question",21.0,female,Master,"If you read the Koran and follow all the instructions, you do not have to agree with everything that is written there, but you do have to accept that it is a book that should be respected. Islam does not try to"
FRT1ST0012HS0050CN001485,Le voile islamique est la démonstration d'un islam politique.,Ces votre vision des choses cela ne veut pas dire qu'en vous avez raison.,Islamophobia,"culture , women",denouncing,37.0,male,Some university without degree,"Islam is not a political ideology, it is a religion and a way of life. It is about love and respect for all people, regardless of religion. Islam is a peaceful religion, it does not promote"
ITT1ST0019HS0010CN000948P1,I musulmani compiono violenze sessuali contro le nostre donne e per questo dobbiamo fermarli per mezzo della castrazione.,"Il Corano condanna la violenza sulla donna: chi lo fa viola le norme religiose. Coloro che violentano le donne, italiani o stranieri, cristiani o musulmani, non rispettano né la legge, né la religione.",Islamophobia,rapism,facts,67.0,male,Master,I do not think it is a bad idea to talk to people of different ethnicities and religions
FRT1ST0014HS0021CN001161P2,Les musulmans ne sont pas tolérants aux autres religions.,Les musulmans ont toujours vécu en paix avec les non musulmans.,Islamophobia,generic,"facts , positive",52.0,male,PhD,"I do not think it is a bad idea to try to understand people of different religions and cultures, as long as you don't try to impose your religion on anyone else. This would be a step in the right direction"
ENT1ST0014HS0060CN000848P2,Muslims should be taken away from our country because they aren't accepted by anyone.,"Except when you need a taxi, a surgeon, a teacher, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.",Islamophobia,generic,hypocrisy,50.0,male,Bachelor,"Islam is a religion of peace. It is about loving all people, regardless of their religion, and respecting the diversity of the world. Not imposing your beliefs on anyone else.   Muslims are not imposing their beliefs on"
ITT1ST0015HS0036CN000586P2,"E' riprorevole il fatto che i crocefissi siano stati tolti dalle scuole, non è giusto nei confronti dei cristiani.","L'italia è uno stato laico. Lo dice la nostra Costituzione, per questo ogni scuola può decidere se mettere il crocifisso o no. In Francia è proibito mostrare qualsiasi segno religioso nelle scuole. Ognuno in Italia ha il diritto di professare ogni religione.",Islamophobia,islamization,facts,17.0,male,Less than high school,This is not true.  We are all human beings with the same
ITT1ST0011HS0012CN000241P1,Non possiamo vivere insieme con un credo che impone ai suoi credenti di farsi esplodere!,"La invito a fare delle ricerche e scoprirà che l'Islam è una religione pacifica e i suoi credenti non si fanno esplodere, ma sono disponibili al dialogo.",Islamophobia,"culture , terrorism",facts,17.0,male,Less than high school,Non-muslims are more likely than muslims to be unemployed and live in poverty. Non muslim people are less likely
ENT1ST0008HS0073CN000337P1,Muslims use corporal and cruel punishment on people.,Using intolerance and discrimination against anyone different? Sounds like a western issue.,Islamophobia,culture,"denouncing , humor",22.0,female,Master,"Islam is a religion of peace. It teaches that all people are equal before the law and that everyone has the right to freedom of thought, conscience and religion. It does not condone violence or rape. It condemns violence and rape committed by people who do"
ENT1ST0008HS0061CN000160,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,Are you sure? 12 Muslim Nobel prize winners would suggest otherwise.,Islamophobia,culture,"facts , hypocrisy",21.0,female,Master,"Islam is a religion of peace, and peace is about loving all people, regardless of their religion. Not all Muslims are bad people, just like not all Christians are good people. (link to article about the pope"
ITT1ST0019HS0010CN000929P1,I musulmani compiono violenze sessuali contro le nostre donne e per questo dobbiamo fermarli per mezzo della castrazione.,"Le forme più gravi di violenza sono esercitate da partner, parenti o amici. Gli stupri sono commessi nel 62,7% dei casi da partner, nel 3,6% da parenti e nel 9,4% da amici. Si parla di italiani.",Islamophobia,rapism,facts,27.0,female,Bachelor,I do not think it is a bad idea to talk to people of different ethnicities and religions
FRT1ST0022HS0014CN000622,Les musulmans sont tous des terroristes.,"Comme tout généralité, cet argument n'en est pas un.",Islamophobia,terrorism,facts,28.0,male,Master,This is not true. Muslims are not terrorists. They are just trying to live their lives as best they can under the existing social and political circumstances in the country they live in.   They are human beings with human rights. Counter-
ITT1ST0015HS0009CN000648T1,"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!","Wearing the veil is a choice for the Muslim woman, its imposition or its prohibition on the other hand, are the result of oppression.",Islamophobia,islamization,facts,,,,Islam is a religion of peace. It is not about imposing one's beliefs on anyone else.  Muslims are peaceful people and do not pose a
FRT1ST0014HS0021CN001125T1,Muslims hate anyone who is not Muslim.,Muslims fought 2 wars in France and helped to rebuild France but that's because they hate the French.,Islamophobia,generic,facts,,,,"Islam is a religion of peace. Muslims do not hate anyone. In fact, they are often the very people being persecuted for their religion. They are peaceful people just like us, and they have the right to practice their religion as they wish. They do not"
FRT1ST0022HS0014CN000638P1,L'islam et le terrorisme sont des synonymes.,Même raccourci que vont les terroristes.,Islamophobia,terrorism,facts,39.0,male,Bachelor,"Islam is a religion of peace. Terrorism is a tactic used to achieve social and political ends, not to promote a particular faith or ideology. Islam is about love, tolerance and understanding, not about hate and violence."
ITT1ST0011HS0062CN000186P1,L'islam compie atti estremisti. Gli islamici vogliono solo assassinare le persone che non seguono lo stesso credo.,In nessun passo del Corano è detto che di usare la violrnza contro gli infedeli.,Islamophobia,"culture , terrorism",facts,25.0,female,PhD,This is not true. Muslims are not the only ones who carry out terrorist attacks. There are also
FRT1ST0022HS0014CN000650,Les musulmans sont tous des terroristes.,Si les musulmans était tous des terroriste la France serais un terrain guerre.,Islamophobia,terrorism,hypocrisy,37.0,male,Less than high school,This is not true. Muslims are not terrorists. They are just trying to live their lives as best they can under the existing social and political circumstances in the country they live in.   They are human beings with human rights. Counter-
ENT1ST0001HS0107CN000037P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","The image was photoshopped, original here. Muslims have never wanted to kill us or anyone, this image in fact demonstrates that there is no evidence for it so people have to make it up.",Islamophobia,crimes,facts,25.0,male,Some university without degree,The image has been captioned with a
ENT1ST0008HS0129CN000179,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,[positive example of Muslim community] when the Muslim community [is doing this] do you really think someone's very existence is an excuse to project hate at them? Clearly the Muslim community doesn't.,Islamophobia,culture,hypocrisy,25.0,male,Some university without degree,"Islam is about love, not hate. Love is about inclusion, not discrimination. Hate is about exclusion, not love. Love does not discriminate. Hate does not stop anyone from loving anyone else."
ENT1ST0014HS0052CN000644P1,"Europe is civilised, Muslims should not stay there.","Is it civilised to think that millions of people from different countries, cultures, and traditions and branches of Islam? Would you think that about any other religion?",Islamophobia,generic,"denouncing , hypocrisy",50.0,male,Bachelor,"If you really cared about human rights, you would call for the repatriation of all Muslims who have not lived up to the high standards you have set for them. You would demand that they show loyalty to the state and pay taxes so that the"
FRT1ST0022HS0004CN000889P1,Tous les musulmans sont des terroristes radicaux.,On ne comprend rien à vos amalgames.,Islamophobia,terrorism,denouncing,40.0,male,Some university without degree,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-muslims-are-sex-offenders-we-dont
ITT1ST0023HS0037CN001054T1,They want to impose the veil on all of us.,"I do not understand why you perceive this risk. Although some Muslims want to do that, we have a democratic state that protects us. We don't need to invent problems that do not exist.",Islamophobia,women,"denouncing , facts",,,,"We are all born equal in the eyes of the law, but some are less equal than others in certain areas of life. For example, some women are less physically fit than some men, and this does not necessitate that they are inferior."
ENT1ST0015HS0115CN001028P2,"We cannot celebrate our festivities, because Muslim can be offended by them.","Yes, we are allowed to celebrate Easter as Muslims are allowed to celebrate Ramadan. No one is offending anyone here, why tehre is a need to create division?",Islamophobia,islamization,"denouncing , facts",26.0,female,Bachelor,"If you really wanted to celebrate Easter as a Christian, you could do it in your own house, under your own light, without the fear of Muslims or the police. (insert example of Muslim celebration of Easter) But you choose"
ENT1ST0015HS0087CN000977P2,England is becoming a islamic country and the government succumbs to every caprice of Muslims.,We will not know until the next census by recent survey suggest that the UK is increasingly a secular society with a growing percentage expressing no religous affiliation at all.,Islamophobia,islamization,facts,61.0,male,Bachelor,Islam is not a religion of conquest. It is about peaceful coexistence and coexistence of peoples. It does not call for the subjugation of any group. It encourages people to live their lives as
ENT1ST0008HS0045CN000487,If the Koran was published today it would be banned as hate speech.,Is it the compulsory acts of charity? Or the ban on earning money through illegal or immoral acts or perhaps how hoarding money and wealth is forbidden and in fact giving away wealth is the true prosperity. Just which of those are you worried about?,Islamophobia,culture,"hypocrisy , question",50.0,male,Bachelor,"If you read the Quran, you would know that it condemns violence and encourages love among all people. Islam is not about hate speech, it is about love and peace. Love and peace are the two most important values of Islam."
ENT1ST0008HS0063CN000309,"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.","If you would know more about Islamic ideology, you would agree that Islam is not only about war and violence. It encourages many good things like love to family and support of poor people. You confuse Muslims in general with armed bands!",Islamophobia,culture,positive,24.0,female,Bachelor,If you really cared about human rights you would
FRT1ST0012HS0037CN000346P2,Les femmes voilées sont misérables et réprimées.,"Avez-vous demandé, au moins une fois, à une femme voilée, si elle a été obligé de porter le voile?",Islamophobia,"culture , women",question,33.0,female,Master,"We are all human beings with human rights, and we all have the right to be treated with respect and dignity. No one should be discriminated against on the basis of their gender, sexuality, or religion."
ITT1ST0011HS0062CN000209P1,L'islam compie atti estremisti. Gli islamici vogliono solo assassinare le persone che non seguono lo stesso credo.,Ma lei conosce questa religione o un mussulmano? Lo sa che anche molti italiani lo sono? E non mi sembra che siano tutti dei terroristi assassini.,Islamophobia,"culture , terrorism","hypocrisy , question",24.0,female,Master,This is not true. Muslims are not the only ones who carry out terrorist attacks. There are also
ITT1ST0011HS0062CN000157,L'islam è fanatismo. I musulmani vogliono uccidere tutti quelli che non credono nel loro dio.,"L'islam è una religione, non fanatismo. Vi è chi si nasconde dietro essa per compiere atti terrificanti, ma questo non significa che chiunque la professi sia un assassino.",Islamophobia,"culture , terrorism",facts,21.0,female,Some university without degree,"Islam is a religion, not a political ideology. It is about love and respect for all people, regardless of"
ENT1ST0008HS0061CN000161P1,Islam is brainwashing its faithful. It is a horrible cult made of persons that reproduce continuously.,How can you use such language to describe a religion of 1.6 billion people?,Islamophobia,culture,denouncing,25.0,male,Master,"Islam is a religion of peace, and peace is about loving all people, regardless of religion. Not all Muslims are engaged in violence, and the majority of the world's Muslims live in peaceful coexistence with"
FRT1ST0012HS0037CN001535,Les femmes voilées sont soumises et obligées de porter le foulard.,"Je porte le voile et personne ne m'oblige de le porté, je ne suis pas marié et je suis convertie à l islam donc famille non musulmane donc aucune pression.",Islamophobia,"culture , women",affiliation,31.0,female,High school,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-experience-high-
FRT1ST0022HS0014CN000581P2,Les terroristes sont musulmans.,C'est tellement une religion de terroriste que de plus en plus de personnes se convertissent.,Islamophobia,terrorism,humor,27.0,female,Master,"If you really cared about human rights, you would call for the prosecution of those responsible for the terrorist attacks that have struck our country in recent years. But you would be denounced as a racist and your call would be ignored. Instead, we must focus on"
FRT1ST0014HS0041CN001529T1,The migrants represent the 5th column.,No assistance to anyone in danger.,Islamophobia,generic,denouncing,,,,"If you really cared about human rights, you would call for the repatriation of all the illegal immigrants currently in the US, especially those who have been here for less than five years. This would be a step in the right direction, but it would not solve"
FRT1ST0014HS0028CN001076T1,Muslims are all scum.,And Jews are stingy? Stop your clichés.,Islamophobia,generic,"hypocrisy , question",,,,Islam is not a religion of 'the scum'; it is about love and respect for human dignity. Muslims are human beings with human rights. They are our brothers and sisters. We should be kinder and more tolerant to them. (link to article about the Muslim
ENT1ST0019HS0103CN001144,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",The Koran does not command this.,Islamophobia,rapism,facts,25.0,male,Master,"The Qur'an teaches chastity and condemns sexual abuse. It condemns both men and women who engage in sex with different genders. Sex is a personal relationship between a man and a woman, and"
FRT1ST0008HS0047CN000779P2,Le voile islamique est une honte pour nous.,Ce discours pourrait également être perçu comme une sorte d'attaque contre l'intelligence et l'ouverture.,Islamophobia,culture,negative,34.0,male,Master,Https://www.theguardian.com/commentisfree/2018/nov/11/84-per-cent-of-grooming-gangs-are-asians-we-dont-
ENT1ST0020HS0058CN001183P1,"People are afraid of Muslims rape gangs and the spread of extremism, even if you pretend not to see it.","Rapism and extremism are indeed problems of the modern society, but does it mean that they are attributed to Muslims only? This is a much broader problem, we should deal with it, but no need to be chauvinist and accuse Muslims.",Islamophobia,"rapism , terrorism","denouncing , facts , hypocrisy",24.0,female,Bachelor,"If you really cared about people's safety, you would call for the prosecution of the rapists, not blame all Muslims. Criminals are not all of a certain race, religion or ethnicity."
FRT1ST0008HS0047CN000726,Ton voile est une agression contre moi.,Un foulard bout de tissu qui couvre la tête non nocif non explosif.,Islamophobia,culture,facts,47.0,female,Less than high school,"We are all human beings with human rights, and we are all born equal in the eyes of the law. No one is better or worse than the other. What is the difference between a Muslim and a non-Muslim person?"
ENT1ST0003HS0055CN000084P2,Islam looks like a cult more than like a religion. It is beliefs make people rape children and commit violence. It should not be accepted in our country.,"Islam has also given our world many benefits, such as mathematics and architecture. It is impossible to take it out of our life!",Islamophobia,"crimes , culture , rapism","facts , hypocrisy",24.0,female,Bachelor,Islam is not a religion of rape and murder. Islam is a peaceful religion that encourages love and respect for all people. It does not condone violence
FRT1ST0015HS0012CN001702T1,Muslims benefit from the French system.,And the French benefit from the Muslim system: e.g. Family allowance.,Islamophobia,islamization,"facts , hypocrisy",,,,"Islam is a religion, not a system of taxes and surrenders. It is about belief and belief in God, not about obtaining benefits from the state. It does not entail giving in to the whims of the powerful and grasping for power over others.  Counter"
ITT1ST0015HS0003CN000484T1,The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,"It seems to me that it was us, Westerners, to colonize and to impose our domination of the planet, even this day.",Islamophobia,islamization,facts,,,,"If you really cared about human rights, you would call for the repatriation of all those who have been persecuted for their religion, ethnicity, or national identity, regardless of their"
FRT1ST0012HS0037CN001648,Les femmes voilées sont soumises et obligées de porter le foulard.,Les femmes musulmanes sont libres de penser et d'agir librement.,Islamophobia,"culture , women",facts,36.0,female,Master,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-experience-high-
FRT1ST0012HS0037CN001609P1,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Je ne connais aucune femmes voilées par obligation.,Islamophobia,"culture , women","affiliation , facts",39.0,male,Bachelor,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-experience
FRT1ST0023HS0029CN000482P1,Les femmes musulmanes sont gardées à la maison.,Ma mère est voilée et professeur.,Islamophobia,women,facts,35.0,male,Master,"The problem is not with the gender of a person, but with the discrimination they face in the labour market.  If you really cared about women's rights, you would call for equal pay for equal work."
ITT1ST0013HS0013CN000282P2,"Gli islamici ricondurrano il nostro paese a stati di arretratezza simili a quelli del medioevo, in cui moriremo per la povertà e le malattie.",I principi della religione islamica non sono di per sè incompatibili con la cultura occidentale.,Islamophobia,economics,facts,25.0,female,PhD,Https://www.theguardian.
ITT1ST0013HS0013CN000311T1,These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,But the illnesses have a religious origin? Do we expect their return according to the religion?,Islamophobia,economics,question,,,,"If you really cared about human rights, you would call for the prosecution of those who commit these crimes, not blame all Muslims. Criminals are not all of a certain race or religion"
ENT1ST0004HS0023CN000097P2,"Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers.","In fact, there are some verses in Quran advocate women's right. Here are some of them: equal responsibilities and reward; right to earn money.",Islamophobia,"crimes , culture , women",facts,29.0,female,Master,Islam is a peaceful religion that condemns violence and encourages love among
ENT1ST0008HS0098CN000153P1,Islam cannot get along with science because is illogical.,Actually all modern science and mathematics are children of Islam.,Islamophobia,culture,facts,25.0,male,Some university without degree,"Islam is a religion, not a science. It is about belief, not about a set of rules or a theory of how the world should be.  Islam does not try to impose its beliefs on anyone else, and it certainly does not promote"
FRT1ST0014HS0043CN001294P1,L'islam crée des problèmes pour notre société.,Enlever le voile qui se trouve sur vos yeux vous y verrez plus clair!,Islamophobia,generic,"denouncing , facts",37.0,female,Some university without degree,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-grooming-gangs-are-asians-
FRT1ST0009HS0023CN001521P2,L'islam appartient au passé.,Si je souhaite vivre au moyen age c'est mon problème non?,Islamophobia,"culture , generic","affiliation , humor , question",36.0,male,Master,"Islam is a religion of peace. It is about love, tolerance and understanding. It does not promote hate or violence. Islam is not a racist religion. Muslims are human beings with human rights. They are our brothers and sisters. We should respect"
ITT1ST0023HS0037CN001055P2,Vogliono obbligare tutte noi donne ad indossare il velo.,Il velo e' un indumento e simbolo personale che ogni donna puo' scegliere di indossare o no. Per le donne iraniane e' uno strumento per partecipare attivamente alla vita pubblica. E uno strumento per sentirsi emancipate. No lo vedo come una costrizione.,Islamophobia,women,facts,54.0,male,Bachelor,"This is not true.  We are all human beings, and we all have the potential to improve our lot in life through hard work and dedication, regardless of our race or ethnicity."
ENT1ST0019HS0013CN001110P2,"If islamics would oppose to child rapists that live in their community rather than make conferences about Islam, this religion would become certainly harmonious.",How is the action of an individual or group representative of an entire faith?,Islamophobia,rapism,question,25.0,male,Master,"If child rapists were to be found in all communities rather than only in a select few, child rapists would be found not only in some communities but also in"
FRT1ST0012HS0037CN001576,Les femmes voilées sont soumises et obligées de porter le foulard.,"Non, c'est juste un choix personnel de pratique religieuse.",Islamophobia,"culture , women",facts,55.0,female,Some university without degree,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-experience-high-
FRT1ST0009HS0023CN001525P2,L'islam appartient au passé.,Les cathédrales aussi pourtant elles fascinent.,Islamophobia,"culture , generic",positive,40.0,female,High school,"Islam is a religion of peace. It is about love, tolerance and understanding. It does not promote hate or violence. Islam is not a racist religion. Muslims are human beings with human rights. They are our brothers and sisters. We should respect"
ITT1ST0017HS0050CN000847T1,The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,"Excuse me, but why should the Arabs want to conquer us with violence and bombs?",Islamophobia,"islamization , terrorism",question,,,,Islam is not a religion of terrorism. Islam is a religion about peace and tolerance. Peace and tolerance are the values that I hold dear. Islam does not promote violence or hate
ENT1ST0010HS0127CN000519P1,They make us think that islam is a religion to diffuse their doctrine in our tolerant culture. Enough is enough!,The Christian world can be far from tolerant. Muslims in the US are more likely to have tolerant attitudes toward LGBT people than Christians. Maybe we can all learn something from them?,Islamophobia,"culture , islamization",facts,21.0,female,Master,"If you really cared about human rights you would call for the prosecution of the perpetrators of these crimes, not for the conversion of non-believers to your way of life."
ENT1ST0019HS0018CN001078P2,"If you are an English girl and you moved in a islamic area, you should beware of muslim men. Do not accept anything from them. Pay attention also to the police!",Why Muslim men? Such a sweeping statement.,Islamophobia,rapism,denouncing,25.0,male,Master,If you really cared about women and children you would call your local MP and demand an end to child sex exploitation
ITT1ST0014HS0042CN000415,E guerra sia. Da qui non passate trogloditi.,Perché bisogna fare la guerra quando è disponibile il dialogo?,Islamophobia,generic,"positive , question",17.0,male,Less than high school,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-europe-agreed-that-women-had-
ENT1ST0008HS0120CN000241,"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.","My friend, like Quran, many ancient literatures in many cultures and religions are still worth reading. For example, The Bible and The Buddhist scriptures are read by all the world and translated to many languages.",Islamophobia,culture,facts,29.0,female,Master,This is not true. Islam is a religion of peace
ENT1ST0015HS0073CN000982,Using violence to punish another person? Sounds like a muslim issue.,Muslims are only expected to engage in combat in warfare and never against innocent people or non-believers.,Islamophobia,islamization,facts,28.0,female,Master,"If you really cared about human rights, you would call for the prosecution of those who perpetrate these crimes, not blame all people of a certain religion for the actions of a few. (insert example of a recent news story about"
ITT1ST0015HS0039CN000776,"Si sono messi a costruire moschee dappertutto, fanno concorrenza alle nostre chiese.","Provi a vedere quante chiese ci sono in Italia e quante moschee. Se lei vivesse a Dubai, e la situazione fosse invertita, non vorrebbe che ci fosse almeno una chiesa?",Islamophobia,islamization,"hypocrisy , question",25.0,male,Bachelor,"I do not think it is a bad idea to talk to people of different backgrounds and religions, especially if you are of a different religion."
ENT1ST0014HS0031CN000687P1,"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.","What exactly is the West going to 'win'? Muslims are not waging a war on western society, it is only the fearmongering media spreading these myths and causing divide.",Islamophobia,generic,facts,21.0,female,Bachelor,"Islam is not a religion of conquest. It is about the peaceful coexistence of people of different religions in a tolerant, multiracial, democratic society.  Islam does not promote violence"
FRT1ST0022HS0004CN000284,Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,"Connaissez vous d'autres mots en ""iste"" pour 5pts.",Islamophobia,terrorism,humor,41.0,male,Bachelor,"I do not think it is appropriate to link terrorism and Islam in this way. Terrorism is a political ideology, not a religion, and it has nothing to do with Islam."
FRT1ST0008HS0047CN000741T1,Your veil is an attack against me.,So much hatred in one sentence. That's a shame.,Islamophobia,culture,denouncing,,,,"The veil is a symbol of our society and faith, it is not an attack at all. I do not see why it would be a problem for you to wear it. It is your choice as to what you want to wear, and it is your right"
ENT1ST0008HS0065CN000377P2,Muslims do not have nothing useful that can enrich our culture.,"The knowledge western society is built on was discovered by Islamic scholars, then colonialists claimed it as their own. Our society would not be so developed without Muslim contributions to science, medicine, and many other fields.",Islamophobia,culture,facts,21.0,female,Master,"Islam is a religion of peace, and peace is about living peacefully with all peoples, not imposing your beliefs on anyone else.  Muslims are not imposing their beliefs on anybody else, in fact many of them are doing the opposite. They are"
