hateSpeech,knowledge_sentence,counterSpeech_x,target,counterSpeech_y
Islam is just a moon cult masquerading as a religion.,"Not an Islamic cult.Dean is hardly the first public figure to try and separate modern-day Muslim extremists from the religion of Islam.I think it's a cult.I think ISIS is a cult.Islamic is the wrong word -- radical religious extremists,"" he clarified.He called them a ""militant cult masquerading as a religious movement.""",We should try to separate modern-day Muslim extremists from the religion of Islam. ISIS is a cult. Islam is not. Islamic is the wrong word -- radical religious extremists is the right word. ISIS is a militant cult masquerading as a religious movement.,Islamophobia,"['How can you say such an offensive statement about a religion of 1.6 billion people from all walks of life?', 'What does that even mean?', 'What makes Islam any less valid than any other religion?', 'Mate. Moon cult?? What? Tbh sounds pretty harmless to me.', 'Sounds like you think they came from the moon. I have to say, I am sceptical.', ""Pretty impressive 'cult' to have produced 12 Nobel Prize winners."", ""Yes, a 'moon cult' that has been around for thousands of years, has holy books, formed the basis for many early and modern societies. Sounds a lot like any other real religion to me?""]"
"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.","In a few cases, people accused of hate crimes against Muslims and others have even cited Mr. Trump.“We see criminal threats against mosques; harassment in schools; and reports of violence targeting Muslim-Americans, Sikhs, people of Arab or South-Asian descent and people perceived to be members of these groups,” Ms. Gupta said.In the killing last year of three Muslim students in Chapel Hill, N.C., for instance, the authorities did not bring hate crime charges against a neighbor who is charged with murdering them, despite calls from Muslims who said there were religious overtones to the violence.The latest major episode of anti-Muslim violence came last weekend, when an arsonist on a motorcycle started a fire that engulfed the Islamic Center of Fort Pierce, Fla., where Omar Mateen — the gunman in the June massacre at the Pulse nightclub in Orlando — had sometimes prayed.The increase in reports of apparent hate crimes has worried Justice Department officials.One exception was hate crimes against transgender people, which rose about 40 percent.","We see criminal threats against mosques; harassment in schools; and reports of violence targeting Muslim-Americans... BUT Islam is an ideology of war. In the killing of three Muslim students in Chapel Hill, N.C., there was a clear hate crime from the neighbor who is charged with murdering them... BUT Islam is an ideology of war. An arsonist on a motorcycle started a fire that engulfed the Islamic Center of Fort Pierce, Fla... BUT Islam is an ideology of war.",Islamophobia,"['Muslims many times have shown how supportive they are of other communities. It does not sound to me that they want to fight against us and start a war?', 'My optician seems like a nice fellow, so I wonder why you think he is likley to kick off at a moments notice.', ""My dentist told me the Quran says: 'GOD does not love the aggressors.'?"", 'How did you make that conclusion, by observation or speculation? I personally know many Muslims and they are all very respectful, nice and kind. They also invite me for dinners.', 'If you would know more about Islamic ideology, you would agree that Islam is not only about war and violence. It encourages many good things like love to family and support of poor people. You confuse Muslims in general with armed bands!', 'No. This is not true. How can you say this about an entire faith?', 'There are criminals, who are from UK, raping children and murdering people. Maybe it better we should first focus on these cases and think how we could decrease the number of crimes.']"
Muslims have nothing to contribute to our society.,"But this prejudice decreased as knowledge of Islam increased.The research found 41 per cent of people agreed or were undecided that Muslims ""do not fit"" Australian society. "" In the wake of the recent Essential poll, which showed that 49 per cent of Australians support a ban on Muslim immigration, this result is particularly heartening and important because it suggests that education and knowledge of Islam is key to overcoming Islamophobia and building a more cohesive society,"" Dr Vergani said.Mr Akbarzadeh said relentless questioning and negative portrayal of young Muslims will see them ""gravitate away from the mainstream Australian culture that rejects them"" and vulnerable to extremist groups such as Islamic State.More than a third of them agreed with statements such as ""practising Muslims pose a threat to Australian society"" (40.4 per cent) and ""practising Muslims should be searched more thoroughly than others in airports and stations"" (36.5 per cent).The participants - who were not asked for their religious background - said they would be much less worried if a relative married someone with Jewish (33 per cent), Buddhist (29.4 per cent) or Christian (8.1 per cent) background.","Usually this prejudice decreases as knowledge of Islam increases. A research found 41 per cent of people agreed or were undecided that Muslims ""do not fit"" Australian society. In the wake of the previous Essential poll, which showed that 49 per cent of Australians support a ban on Muslim immigration, this result was particularly heartening and important because it suggests that education and knowledge of Islam is key to overcoming Islamophobia and building a more cohesive society.",Islamophobia,"['It seems like you are saying this only because they are followers of Islam? If yes, this does not make any sense. They contribute to the society like any other individual is.', 'Muslims contribute much to the UK, through their hard work and charitable activities.', 'Try running the NHS without them and other migrants!', 'Provide positive news story regarding Mulsims.', 'Muslims have an excellent academic record, with many well-known Doctors and Professors.', 'A part from all the police officers, teachers, nurses etc. Who identify as muslim?', 'Except when you need a taxi, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.', 'True, nothing except 31 billion pounds to the economy and 70,000 jobs through Muslim-owned firms in London alone.', 'How have you come to this decision?', 'Who else would be open first thing in the morning and late at night every night?', ""That is why they're surgeons, doctors, teachers, entrepreneurs."", 'Muslims donate more to charity than any other group, contribute more than 30 billion pounds to the UK economy and make up a significant part of our NHS workforce. I think that is quite a nice contribution.', 'Except doctors, surgeons, nurses, transport workers, scientists, artists, sports personalities. Anyone else a fan of Monty Python?', 'How about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. Should I go on?', ""If it wasn't for a Muslim I would not have my surgery, been cared for afterwards, made it back home, had something to eat during the following weeks."", 'Who do you think introduced the West to Shawarma, Hummus, and all the rest of the Middle Eastern and Asian food you love?', 'Really? Hundreds of millions of people?', ""Islamic civilization led Europe out of dark ages into the era of Enlightenment and gave rise to its Renaissance. Now they contribute over 30 billion pounds to the UK economy; quite a large contribution by anyone's estimation."", 'Muslims have been part of the British fabric since the 19th century and have been contributing greatly in all different fields.', 'Do you know that you are using a lot of things in your everyday life that Muslims invented, right?', 'This may dissapoint you.but every single individual is contributing to a society in one way or another, regardless of their race or religion.', 'I take it you have never eaten a curry then?', 'What is your hatred of Muslims contributing to our society except spreading intolerance and causing divide?', 'The knowledge western society is built on was discovered by Islamic scholars, then colonialists claimed it as their own. Our society would not be so developed without Muslim contributions to science, medicine, and many other fields.', 'Unless you consider spending over 20 Billion pounds per year, being one of the highest online charity givers, creating a third of small to medium enterprises in London and that is before we talk about the international contribution.', 'Hospitals, coffee, clocks, cameras, universities, surgery, maps, music, algebra, paper, vaccinations, clocks, three course meals, carpets. I could go on.', 'Your afternoon tea.', 'Have you every interacted with a muslim?', 'The 26% of NHS doctors who are Asian/Asian British beg to differ.', 'Enjoying your afternoon tea?? That came from India.', 'Muslims feed the homeless London, Cardiff, Birmingham (everywhere) BBC news; Muslims raise funds for synagogue, rescue flood victims, just google.', ""Muslims have contributed much to the UK due to their sterling educational achievements. More than half of Muslim schools in England surpass the national percentage GCSE average of 5 or more GCSE's or equivalent A*-C grades including English and Math GCSEs. This enables Muslims to work in important fields of Medicine and Law amongst others to enrich the lives of UK citizens."", 'Clearly, when they are working, shopping etc they are paying taxes? This is also a contribution to a society.in economic terms!', 'Maybe prejudice and xenophobia have nothing to contribute to our society.', ""A core duty of being a Muslim is to conduct Zakat (the word for charity in Arabic). The Prophet Mohammad stated that: 'The believer's shade on the Day of Resurrection will be his charity.' Because of their inspiration, Muslims are known to tirelessly work for many charitable causes in order to serve humanity on the global scale and their local societies across the UK."", 'What have Muslims ever done for us? Well, Coffee, Clocks, Cameras, Hygiene, Universities, Surgical Instruments, Maps, Music, Algebra.']"
"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!","a muslim, Im not terrorist.To those who are already blaming the Muslim community; your anger is misguided and ignorant, to put it politely.I am not Muslim, but I support this trend.I am a proud Muslim who stands with Paris today.why do we, kids have to educate adults age of our parents.A handful of violent Muslims DO NOT speak for the other 1.6 billion.","To those who are blaming and hating the Muslim community; your anger is misguided. I am not Muslim, but I support them when discriminated. They are part of our society: there were many proud Muslims standing with Paris after the terrorist attacks. Last but not least: a handful of violent Muslims DO NOT speak for the other 1.6 billion.",Islamophobia,"['Why are you so rude to other people? I do not know how they offended you, but you are offending them fore sure.', 'So much hatred. We must respect and understand all peoples.', 'May I remind you to mind your language? Do you want to share me with your anger, maybe I can help you?', 'I do not know what Muslims have done to you, but I know many beautiful and kind persons among them. So it is very rude and inconsiderate of you to call them disgusting.', 'What happened, my friend? Do you want to talk about what is in your mind?', 'You have a stance, that is your right. But it is not your right to decide for other people (your children and grandchildren) and insult other people.']"
"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.","""All of the respondents clearly stated that they felt that the scale of the problem affected over half of the girls in their locations,"" it said.Save the Children said that work would be undermined if widespread sexual exploitation of children continued unchecked. MONROVIA, Liberia, May 8 -- Sexual exploitation of young girls is rife in refugee camps and communities in war-ravaged Liberia and threatens the country's recovery after nearly two decades of conflict, according to a report released Monday.The organization called on Liberia's new government, U.N. agencies and donors to set up an ombudsman's office to ensure that cases of sexual exploitation against children are investigated and to promote a policy of zero tolerance.International donors, aid agencies and nongovernmental organizations should ensure that their own staff and those of any local partner organizations enforced a strict code of conduct, the report said, and countries that contribute troops to the U.N. force should remove soldiers found guilty of sexually exploiting children.said an alarming number of girls as young as 8 were having sex with older men, including policemen, teachers, aid workers and U.N. peacekeepers, in exchange for money, food or favors such as a ride in a car or watching a film.","This is a problem with individuals, not groups. Did you know about sexual exploitation of children by ""Western civilized people""? Save the Children said that there was a widespread sexual exploitation of children in Liberia. -- Sexual exploitation of young girls is rife in refugee camps and communities in war-ravaged Liberia and threatens the country's recovery after nearly two decades of conflict, according to Save the Children report. An alarming number of girls as young as 8 were having sex with older men, including policemen, teachers, aid workers and U.N. peacekeepers, in exchange for money, food or favors such as a ride in a car or watching a film.",Islamophobia,"['Such over-simplifications are an insult to those victims of perpetrators from non-Muslim backgrounds.which, statistically, is still the majority.', 'This is a sad matter, but not all Muslims are involved in such crimes, and not all people involved in it are Muslims.', 'This is not true. How can you say this about an entire faith?', ""Did you miss 'Some.' from the beginning of this Tweet?"", ""I'd acknowledge that there is an issue in some of our towns with exploitation by men from a Pakistani Muslim heritage, but to label this as an exclusivewly Muslim problem is to ignore the scale and seriousness of the issue."", 'I feel you anger. The often ignored fact is that around 90% of the criminals were persons known to the child. Besides, most of people convicted of child abuse offences were white men. Sexual exploitation of children should be stopped and prevented. Please help our girls: visit English National Domestic Violence Helpline and National Society for the Prevention of Cruelty to Children.']"
What is the point in listening to Muslim women? They are all retarded.,"Pakistani teenager Malala Yousafzai.World leaders, celebrities and politicians across the globe have congratulated Malala Yousafzai, the youngest winner in Nobel Prize history.Malala Yousafzai, 16, addresses students and faculty after receiving the 2013 Peter J. Gomes Humanitarian Award at Harvard University.“At just 17 years old, Malala Yousafzai has inspired people around the world with her passion and determination to make girls everywhere can get an education,” the statement read.“When the Taliban tried to silence her, Malala answered their brutality with strength and resolve.”Ms Yousafzai was in chemistry class when she was told by her teacher that she was awarded the prize.","Think about Pakistani teenager Malala Yousafzai. World leaders, celebrities and politicians across the globe have congratulated Malala Yousafzai, the youngest winner in Nobel Prize history. At just 17 years old, Malala Yousafzai has inspired people around the world with her passion and determination to make girls everywhere can get an education. When the Taliban tried to silence her, Malala answered their brutality with strength and resolve. This is NOT the description of a ""retarded woman"" in my opinion.",Islamophobia,"['The point of listening to Muslim women, and women in general, is that they could broaden and enlighten your view of the world.', 'Baroness Warsi, Rashida Tlaib, Ilhan Omar, Malala Yousafzai- I could go on. Just because powerful and intelligent Muslim women are overlooked it does not mean that they do not exist.', 'It is just so hard to take you seriously when your Islamophobia, misogyny and disablist language combined make you seem excessively uninformed.', 'How about influential figures like Baroness Sayeeda Warsi? Or Harvard Fellow Hayfa Al-Kaylani? Should I list some more brilliantly smart Muslim women?', 'So the headscarf impedes brain function? Seems like your problem is sexism and misogyny not Islam.', ""Perhaps if you listened, you'd realise just how uninformed you sound."", '[gif of someone laughing] If Islamophobia is getting this weak, perhaps we have nothing to worry about.', 'You decide whether or not people are intelligent based on their religion? Well, this is not a way forward.', 'And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.', 'What is the point in listening to Western men? They are all Islamophobic and generalise narrow minded opinions to entire genders and religions.', 'So how come I met so many intelligent and smart Muslim women then? I think you should not be so quick to judge.', 'That is quite a big generalisation, and obviously a false and discriminatory one too.', ""Not sure how far dismissing 10% of the world's population will get us."", 'Grow up.', 'Sounds like thinly veiled sexism to me.', 'List of famous Muslim females.', 'Wow! Offending Muslims, women, and disabled people, all in one tweet? What is made you so angry?', 'What is the point in listening? Maybe because they actually have something good to say?', ""Don't use offensive language and you are literally saying do not listen to hundreds of millions of people of all walks of life."", 'The point is they might teach you a thing or two about first, respect, and secondly, tolerance.']"
What is the point in listening to Muslim women? They are all retarded.,"Concerning women's rights in general, most Muslim women polled associated sex equality with the West.A version of this article appears in print on , on page A9 of the New York edition with the headline: Muslim Women Don't See Themselves as Oppressed, Survey Finds.WASHINGTON, June 7 — Muslim women do not think they are conditioned to accept second-class status or view themselves as oppressed, according to a survey released Tuesday by The Gallup Organization.Dalia Mogahed, the strategic analyst of Muslim studies at The Gallup World Poll, said the new data provide fresh insight into the Muslim world, where Western perceptions generally cast women as victims.What Women Want: Listening to the Voices of Muslim Women,"" is a part of The Gallup World Poll, which plans to survey 95 percent of the earth's population over the next century.According to the poll, conducted in 2005, a strong majority of Muslim women believe they should have the right to vote without influence, work outside the home and serve in the highest levels of government.","According to a survey released by The Gallup Organization some years ago, concerning women's rights in general, most Muslim women polled associated gender equality with the West. According to the same poll, a strong majority of Muslim women believe they should have the right to vote without influence, work outside the home and serve in the highest levels of government. I would not call them ""retarded"".",Islamophobia,"['The point of listening to Muslim women, and women in general, is that they could broaden and enlighten your view of the world.', 'Baroness Warsi, Rashida Tlaib, Ilhan Omar, Malala Yousafzai- I could go on. Just because powerful and intelligent Muslim women are overlooked it does not mean that they do not exist.', 'It is just so hard to take you seriously when your Islamophobia, misogyny and disablist language combined make you seem excessively uninformed.', 'How about influential figures like Baroness Sayeeda Warsi? Or Harvard Fellow Hayfa Al-Kaylani? Should I list some more brilliantly smart Muslim women?', 'So the headscarf impedes brain function? Seems like your problem is sexism and misogyny not Islam.', ""Perhaps if you listened, you'd realise just how uninformed you sound."", '[gif of someone laughing] If Islamophobia is getting this weak, perhaps we have nothing to worry about.', 'You decide whether or not people are intelligent based on their religion? Well, this is not a way forward.', 'And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.', 'What is the point in listening to Western men? They are all Islamophobic and generalise narrow minded opinions to entire genders and religions.', 'So how come I met so many intelligent and smart Muslim women then? I think you should not be so quick to judge.', 'That is quite a big generalisation, and obviously a false and discriminatory one too.', ""Not sure how far dismissing 10% of the world's population will get us."", 'Grow up.', 'Sounds like thinly veiled sexism to me.', 'List of famous Muslim females.', 'Wow! Offending Muslims, women, and disabled people, all in one tweet? What is made you so angry?', 'What is the point in listening? Maybe because they actually have something good to say?', ""Don't use offensive language and you are literally saying do not listen to hundreds of millions of people of all walks of life."", 'The point is they might teach you a thing or two about first, respect, and secondly, tolerance.']"
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.","Turkey is a Muslim country and all throughout the world, there are about 1.6 billion Muslims and 35 countries practice some kind of Sharia Law. The truth is many Muslim nations have not confronted Islamic terrorism have not attacked violence in the name of Allah, and have not even condemned the jihad.""Talking Points"" well understands that for centuries Muslims coexisted peacefully with other religions. And most Muslim nations are not joining with the West to confront that therefore, criticism of Islam's role on the world stage is certainly valid. All I'm saying is that liberal principles like freedom of speech, freedom to practice any religion you want without fear of violence, freedom to leave a religion, equality for women, equality for minorities, including homosexuals -- these are liberal principles that liberals applaud for So you can see that millions of Muslims think their religion should dictate what happens in society. ","There are millions of Muslims thinking that their religion can coexist with liberal principles like freedom of speech, freedom to practice any religion you want without fear of violence, freedom to leave a religion, equality for women, equality for minorities, including homosexuals -- these are liberal principles that we applaud for.",Islamophobia,"[""Dear friend, first of all, sharia law and Isalam are not extreme. Sharia law is a guidance for the goal of leading humanity close to God and live in kindness and justice with God's creation. Seond of all, jihad, based on the concept of Muslim, means struggle for the advancement of oneself within the guidelines of Islam. All these reveal that Islam is a peaceful religion."", ""Don't most religions have instuctions for what they deem to be 'rightous living', voluntary codes or law's (if you insist) for the faithful to follow. Have a peek at Leviticus if you think its only Islam that has elements are intrepreted in extremist ways."", 'Have you asked every single Muslim about their opinion? I suppose not. Then please do not speak for everybody!', ""But like any religous concept, 'Jihad' is interpreted in all sorts of ways. Afterall, for Christians, 'Fighting the Good fight' does not have to be a literal instruction. When I was at school, they called this a 'metaphor'."", 'This is not true. How can you say this about an entire faith?', ""You are looking at Sharia's law from the position of a Western person. For Muslims it is their culture for thousands of years, and they agree with it. Please do not impose your opinion on other people!""]"
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"South Yorkshire police is at pains to stress that CSE is now a key force priority.South Yorkshire police insists that the Independent Police Complaints Commission will be informed if there is any evidence that officers failed to properly investigate child sexual exploitation (CSE), or had covered up evidence.Rotherham police station.""At an operational level, the police gave no priority to CSE, regarding many child victims with contempt and failing to act on their abuse as a crime,"" wrote Jay.Attempts to manipulate the force's crime figures are not new.One man who worked at Rotherham interchange bus station in the early 2000s told the inquiry that police refused to intervene when young girls who were thought to be victims of CSE were being beaten up and abused by perpetrators.","The real problem is that police was not taking child sexual exploitation seriously (regardless of religion). Recently, South Yorkshire police was at pains to stress that child sexual exploitation is now a key force priority. South Yorkshire police insists that the Independent Police Complaints Commission will be informed if there is any evidence that officers failed to properly investigate , or had covered up evidence.",Islamophobia,"['We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.', 'Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?', 'No they are not - prove this?', 'The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.', 'Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.', 'The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.', 'The only traitors are the conspiracy theorists who spread this kind of misinformation.']"
We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,"The perfect love of Jesus, in dying for us, and rising again, casts out fear.And it is this that the Easter message points to.Terrorists want to create fear and terror – it is what they exist to do.But we non-muslims must also play our part by encouraging a moderate, reforming and secularising Islam.The vast majority of Muslims reject this dangerous form of political Islam – they are, after all, its chief victims.The act of the risen Christ symbolises for us the defeat of anxiety and fear which plague and corrupt human society.","The perfect love of Jesus, in dying for us, and rising again, casts out fear. And it is this that the Easter message points to. Terrorists want to create fear and terror – it is what they exist to do. They are the only one ""offended"" by Easter. But we non-muslims must also play our part by encouraging a moderate, reforming and tolerant Islam. The vast majority of Muslims reject this dangerous form of political Islam – they are, after all, its chief victims. The act of the risen Christ symbolises for us the defeat of anxiety and fear which plague and corrupt human society.",Islamophobia,"['Yes, we are allowed to celebrate Easter as Muslims are allowed to celebrate Ramadan. No one is offending anyone here, why tehre is a need to create division?', 'No one is stopping you from celebrating Easter, nor are they offended by it.', 'Show me evidence of this?', 'Muslims believe in Jesus. No one is trying to cancel Easter. Stop legitimising division by manufacturing outrage.', 'Have you actually spoken to Muslim people and asked whether it offends them?', 'This is not true.']"
Muslims have no place in civilised Europe.,"The same phenomenon is evident in the Islamic world.Over the last 40 years, Islamic militancy has thrived on the perception that Muslims are victims, whether in the US, Europe or on a global scale.the sweeping rightwing gains in French regional elections make clear, populist prejudice is hardly rare in the west.Shortly after the seizure of the Iraqi city of Mosul in June last year, Abu Bakr al-Baghdadi, the self-appointed Caliph and leader of Isis issued a message that summed up the world view not just of his own groups but of all Islamic militants in the early part of this century.The long and complex history of interchange between cultures and communities is ignored, and replaced with a narrative of a single global conflict between belief and unbelief, between the west and their proxies in the Islamic world and true Muslims.In the 18th century, an Ottoman scholar described contemporary European states as so backward and barbaric as to not be “worthy of attention”.","The long and complex history of interchange between cultures and communities is ignored, and replaced with a narrative of a single global conflict between belief and unbelief, between the west and their proxies in the Islamic world and true Muslims. In the 18th century, an Ottoman scholar described contemporary European states as so backward and barbaric as to not be “worthy of attention”.",Islamophobia,"['Mindless Hate has no place in civilised Europe.', 'All peoples have a place in every part of the world.', ""A 'civilised Europe' would never ban a group based on their religious belief; Islamophobic sentiment such as this is the antithesis of civilised."", ""Why? What makes you say this? How are muslims 'uncivilised'?"", ""Shall we also ban coffee, paper, guitar, the English language, algebra, vaccinations against disease, canals, hospitals, the numeric system and every other contribution to 'civilised Europe' from the Islamic world?"", ""They are here because 'civilised' crusaders first went there and more came later we invited them over to rebuild the our civilsation after the war."", 'So-called civilised Europe has benefited from Islamic contributions for hundreds of years, even some basic research would tell you that Muslims have just as much right as any other to be here.', 'What is wrong with Muslims living in Europe?', 'Do people who make such sweeping statements based on hate and ignorance belong in our civilisation then?', 'Is it civilised to think that millions of people from different countries, cultures, and traditions and branches of Islam? Would you think that about any other religion?', 'How can you say that about a faith of 1.6 billion people?', 'Hatred and discrimination do not either.', ""Why not? 'civilised' Europe could benefit from the diversity and expertise of Muslims here, the mix of cultures here is what makes Europe great."", 'Muslim, as other human beings, have a right to live whenever they want.', 'Muslims contribute much to Europe and have done since the 19th Century.', 'There are centuries old Islamic communities in Europe.', ""The first universities in Europe were established by Muslims. Muslims are the ones who helped create 'civilized' Europe."", 'Provide positive news stories about the Muslim community.', ""Muslims have been a part of European society for hundreds of years, what is not 'civilised' is your attitude towards them."", 'Muslims have been in Europe since the 6th century and they belong here as much as anyone else.', 'It seems like you are against Muslims if you are saying something like this? Why is that?', 'Muslims are peace-loving, law-abiding and hard-working, contributing much to the UK economically and culturally.', 'It is not very civilised of you to be intolerant of another religion.', 'We still use Arabic numbers, maths, medicines, and rely on trade and loans from Islamic countries. Islam is an intricate part of civilization as we know it.', 'Oh, the same Muslims who contribute more than 31 billion pounds to economy and who give more to charity than other religious groups. Link to MEND factsheet.', ""I'd rather have a civilisation based on equality and justice where everyone is judge by their merit and not through sweeping generalisations and prejudice."", ""Well most Muslims are here because of our 'civilised' crusades, 'civilised' industrial scale slavery, and 'civilised' pillaging of natural resources and yet the vast majority of Muslims in the UK are proud to be British, work hard and and contribute to the economy."", 'You mean all those doctors, nurses, architects, artists, teachers?', ""Muslims do have a place in Europe's multicultural society. Unfortunately for you, intolerance doesn't."", 'After world war 2 European governments recruited Muslims to rebuild Europe. There would not be a civilised Europe without Muslims.', 'Every single Muslim? Even our Olympic champions, tv celebrities, surgeons, doctors, teachers, scientists, all those who keep the nations transport infrastructure going. You really think they have no place in civilisation?', ""Some of the oldest civilisations in existence are Islamic. I would not call the religious hatred directed at Muslims in Europe 'civilised'."", 'Have you ever spoken to a muslim?', 'What do you base your view on?', 'Why? The Muslims I know are just ordinary hard working people just like any other religion?']"
Muslims have no place in civilised Europe.,"Sen. Patrick Leahy, D-Vt., claimed hate groups increasingly are targeting Muslims in the United States.Durbin, who announced his hearing shortly after King's concluded, acknowledged Tuesday that other religious groups face discrimination.Durbin, along with several other senators, expressed concern that U.S. Muslims are facing widespread discrimination in the wake of the Sept. 11, 2001, terror attacks.Among the witnesses, Durbin planned to call Muslim Advocates President Farhana Khera and Thomas Perez, a top official in the Justice Department's civil rights division.While critics of King's hearing questioned why he didn't examine other domestic threats like the KKK, King likewise questioned why Durbin wouldn't examine civil rights violations of other religious groups.""The best they can do is come back with these hearings by Senator Durbin, which is somehow trying to create the illusion that there's a violation of civil rights of Muslims in this country.","Hate groups increasingly are targeting Muslims in EU: they are facing widespread discrimination in the wake of the terror attacks since 2001. Still, why don't we examine other domestic threats, like the far right movements, or why don't we examine civil rights violations of other religious groups?",Islamophobia,"['Mindless Hate has no place in civilised Europe.', 'All peoples have a place in every part of the world.', ""A 'civilised Europe' would never ban a group based on their religious belief; Islamophobic sentiment such as this is the antithesis of civilised."", ""Why? What makes you say this? How are muslims 'uncivilised'?"", ""Shall we also ban coffee, paper, guitar, the English language, algebra, vaccinations against disease, canals, hospitals, the numeric system and every other contribution to 'civilised Europe' from the Islamic world?"", ""They are here because 'civilised' crusaders first went there and more came later we invited them over to rebuild the our civilsation after the war."", 'So-called civilised Europe has benefited from Islamic contributions for hundreds of years, even some basic research would tell you that Muslims have just as much right as any other to be here.', 'What is wrong with Muslims living in Europe?', 'Do people who make such sweeping statements based on hate and ignorance belong in our civilisation then?', 'Is it civilised to think that millions of people from different countries, cultures, and traditions and branches of Islam? Would you think that about any other religion?', 'How can you say that about a faith of 1.6 billion people?', 'Hatred and discrimination do not either.', ""Why not? 'civilised' Europe could benefit from the diversity and expertise of Muslims here, the mix of cultures here is what makes Europe great."", 'Muslim, as other human beings, have a right to live whenever they want.', 'Muslims contribute much to Europe and have done since the 19th Century.', 'There are centuries old Islamic communities in Europe.', ""The first universities in Europe were established by Muslims. Muslims are the ones who helped create 'civilized' Europe."", 'Provide positive news stories about the Muslim community.', ""Muslims have been a part of European society for hundreds of years, what is not 'civilised' is your attitude towards them."", 'Muslims have been in Europe since the 6th century and they belong here as much as anyone else.', 'It seems like you are against Muslims if you are saying something like this? Why is that?', 'Muslims are peace-loving, law-abiding and hard-working, contributing much to the UK economically and culturally.', 'It is not very civilised of you to be intolerant of another religion.', 'We still use Arabic numbers, maths, medicines, and rely on trade and loans from Islamic countries. Islam is an intricate part of civilization as we know it.', 'Oh, the same Muslims who contribute more than 31 billion pounds to economy and who give more to charity than other religious groups. Link to MEND factsheet.', ""I'd rather have a civilisation based on equality and justice where everyone is judge by their merit and not through sweeping generalisations and prejudice."", ""Well most Muslims are here because of our 'civilised' crusades, 'civilised' industrial scale slavery, and 'civilised' pillaging of natural resources and yet the vast majority of Muslims in the UK are proud to be British, work hard and and contribute to the economy."", 'You mean all those doctors, nurses, architects, artists, teachers?', ""Muslims do have a place in Europe's multicultural society. Unfortunately for you, intolerance doesn't."", 'After world war 2 European governments recruited Muslims to rebuild Europe. There would not be a civilised Europe without Muslims.', 'Every single Muslim? Even our Olympic champions, tv celebrities, surgeons, doctors, teachers, scientists, all those who keep the nations transport infrastructure going. You really think they have no place in civilisation?', ""Some of the oldest civilisations in existence are Islamic. I would not call the religious hatred directed at Muslims in Europe 'civilised'."", 'Have you ever spoken to a muslim?', 'What do you base your view on?', 'Why? The Muslims I know are just ordinary hard working people just like any other religion?']"
